ID,hivCaseReportNumber,name,fathersName,fathersFatherName,mothersName,mothersFatherName,gender,dob,district,town,PhoneNumber
rec-00000000-aaa-0,vz/6z/GlK/LadDW,Tolosa,Henock,Kebede,Kiros,Ayele,male,20050324,SNNP,Duna,011-655-1890
rec-00000001-aaa-0,52/Kj/tkM/2cNVE,Gubena,Genet,Hassen,Seboka,Mohammed,male,20080622,Oromia,Sayo,033-619-0743
rec-00000002-aaa-0,Vc/UN/BlV/7V8WF,Meles,Habtezgi,Alemseged,Wakene,Woldetsaoik,male,19940610,Afar,Telalek,091-720-1380
rec-00000003-aaa-0,W5/NT/vrS/Qd3cJ,Desta,Bayitu,Alemneh,Aemero,Abdurehman,male,19940228,Somali,Babile,022-599-9955
rec-00000004-aaa-0,i3/Hf/qq3/tRT6K,Marta,Busha,Araya,Yosef,Hasen,female,20110810,Oromia,Sebeta town,011-651-1671
rec-00000005-aaa-0,jP/vo/pq8/EkSUX,Zerihun,Tenaw,Kebede,Utalo,Kibrom,male,20000121,Amhara,East Belesa,022-310-0181
rec-00000006-aaa-0,Xa/SH/N3J/ejUqF,Wolde,Tesfaye,Gebretsadik,Yonas,Bogale,male,20010501,SNNP,Basketo SP Woreda,011-655-6608
rec-00000007-aaa-0,a7/qH/dFi/HDQbZ,Ebrahim,Mohammed,Tedila,Mekonnen,Molalegn,male,20060830,Oromia,Becho (SW Shewa),047-381-4848
rec-00000008-aaa-0,ks/pP/5TZ/2kOde,Mulie,Alemneh,Menilik,Mekonnen,Tegegn,male,20040110,Oromia,Kuyu,091-837-8346
rec-00000008-bbb-0,,Mulie,Atlemneh,Menilik,Mekonnen,,,20040110,Oromia,Kuyu,091-837-8346
rec-00000008-bbb-1,k5/pP/5TZ/2kOde,Muli,Alemne,Menilik,Mekonnen,Tegegn,male,20040119,Oromia,Kuyu,091-837-8346
rec-00000009-aaa-0,iR/Nu/GZK/YqeU8,Sara,Kebede,Getaneh,Alemayehu,Gebrekiros,female,19971001,Sidama,Hawasa town,011-112-6142
rec-00000010-aaa-0,36/QZ/BWj/eJxHd,Desta,Gebreyohannes,Asres,Atomisa,Tesema,male,20030324,Afar,Euwa,091-734-3701
rec-00000011-aaa-0,OP/Iz/pgN/QQ8DJ,Korme,W.gebriel,Hagos,Gebrekidan,Gebregiorgis,male,20070620,SNNP,Damot Gale,047-800-4081
rec-00000012-aaa-0,fI/DW/d0D/QkYy7,Jewehar,Girma,Temamo,Bejiga,Gebregiorgis,male,20010107,Oromia,Kercha,091-889-5794
rec-00000013-aaa-0,ur/rD/nW0/vTaSO,Tenkolu,Mariyo,Birhanu,Abdo,Eshetu,male,20000729,Oromia,Kokosa,098-111-5086
rec-00000013-bbb-0,ur/rD/nW0/vTaSO,Tenckolu,Marivo,Birhanu,Abdo,Eshetu,mal3,20000729,Oromla,Kokosa,098-111-5086
rec-00000013-bbb-1,,Tenkolu,Mariyo,Birhanv,Abdo,,male,20000729,Oromla,Kokosa,098-111-5086
rec-00000014-aaa-0,y8/J0/0LD/vKpOk,Tema,Aman,Mehammed,Ebey,Zekarias,male,19921230,Sidama,Bensa,091-729-2597
rec-00000015-aaa-0,oA/V5/tUx/4kFKG,Kenea,Gurara,Bilisuma,Reta,Demena,male,19970220,Oromia,Cheliya,058-953-1868
rec-00000016-aaa-0,ew/PJ/CrA/H0N8O,Berga,Tezera,Ali,Assefa,Adane,male,19950206,Addis Ababa,Nefas Silk,011-536-7727
rec-00000016-bbb-0,ew/PJ/CrA/H0N8O,Berga,Tezera,Aly,Assefa,Adame,male,,Adclis Ababa,Nefas Silk,011-536-7727
rec-00000016-bbb-1,ew/PJ/CrA/H0N8O,Berga,Tesera,Alj,Assefa,Atane,male,19950206,Addis Ababa,,011-536-7727
rec-00000017-aaa-0,D4/Hy/jYs/CVFZn,Engida,Woldeyes,Tola,Gebrewold,Woldesilassie,male,20041124,Sidama,Malga,022-630-0280
rec-00000018-aaa-0,RB/PT/RGQ/ZCgrh,Seifu,Ashagre,Gedamu,Gizaw,Samuel,male,20020304,Oromia,Abe Dongoro,011-655-0179
rec-00000018-bbb-0,,Seivu,Ashagre,Gedamu,Gijaw,,male,20020304,Oromia,Abe Dongoro,011-655-0179
